date,CNY_USD,USD_INDEX,US_10Y,US_CPI
1947/1/1,,,,21.48
1947/2/1,,,,21.62
1947/3/1,,,,22
1947/4/1,,,,22
1947/5/1,,,,21.95
1947/6/1,,,,22.08
1947/7/1,,,,22.23
1947/8/1,,,,22.4
1947/9/1,,,,22.84
1947/10/1,,,,22.91
1947/11/1,,,,23.06
1947/12/1,,,,23.41
1948/1/1,,,,23.68
1948/2/1,,,,23.67
1948/3/1,,,,23.5
1948/4/1,,,,23.82
1948/5/1,,,,24.01
1948/6/1,,,,24.15
1948/7/1,,,,24.4
1948/8/1,,,,24.43
1948/9/1,,,,24.36
1948/10/1,,,,24.31
1948/11/1,,,,24.16
1948/12/1,,,,24.05
1949/1/1,,,,24.01
1949/2/1,,,,23.91
1949/3/1,,,,23.91
1949/4/1,,,,23.92
1949/5/1,,,,23.91
1949/6/1,,,,23.92
1949/7/1,,,,23.7
1949/8/1,,,,23.7
1949/9/1,,,,23.75
1949/10/1,,,,23.67
1949/11/1,,,,23.7
1949/12/1,,,,23.61
1950/1/1,,,,23.51
1950/2/1,,,,23.61
1950/3/1,,,,23.64
1950/4/1,,,,23.65
1950/5/1,,,,23.77
1950/6/1,,,,23.88
1950/7/1,,,,24.07
1950/8/1,,,,24.2
1950/9/1,,,,24.34
1950/10/1,,,,24.5
1950/11/1,,,,24.6
1950/12/1,,,,24.98
1951/1/1,,,,25.38
1951/2/1,,,,25.83
1951/3/1,,,,25.88
1951/4/1,,,,25.92
1951/5/1,,,,25.99
1951/6/1,,,,25.93
1951/7/1,,,,25.91
1951/8/1,,,,25.86
1951/9/1,,,,26.03
1951/10/1,,,,26.16
1951/11/1,,,,26.32
1951/12/1,,,,26.47
1952/1/1,,,,26.45
1952/2/1,,,,26.41
1952/3/1,,,,26.39
1952/4/1,,,,26.46
1952/5/1,,,,26.47
1952/6/1,,,,26.53
1952/7/1,,,,26.68
1952/8/1,,,,26.69
1952/9/1,,,,26.63
1952/10/1,,,,26.69
1952/11/1,,,,26.69
1952/12/1,,,,26.71
1953/1/1,,,,26.64
1953/2/1,,,,26.59
1953/3/1,,,,26.63
1953/4/1,,,,26.69
1953/5/1,,,,26.7
1953/6/1,,,,26.77
1953/7/1,,,,26.79
1953/8/1,,,,26.85
1953/9/1,,,,26.89
1953/10/1,,,,26.95
1953/11/1,,,,26.85
1953/12/1,,,,26.87
1954/1/1,,,,26.94
1954/2/1,,,,26.99
1954/3/1,,,,26.93
1954/4/1,,,,26.86
1954/5/1,,,,26.93
1954/6/1,,,,26.94
1954/7/1,,,,26.86
1954/8/1,,,,26.85
1954/9/1,,,,26.81
1954/10/1,,,,26.72
1954/11/1,,,,26.78
1954/12/1,,,,26.77
1955/1/1,,,,26.77
1955/2/1,,,,26.82
1955/3/1,,,,26.79
1955/4/1,,,,26.79
1955/5/1,,,,26.77
1955/6/1,,,,26.71
1955/7/1,,,,26.76
1955/8/1,,,,26.72
1955/9/1,,,,26.85
1955/10/1,,,,26.82
1955/11/1,,,,26.88
1955/12/1,,,,26.87
1956/1/1,,,,26.83
1956/2/1,,,,26.86
1956/3/1,,,,26.89
1956/4/1,,,,26.93
1956/5/1,,,,27.03
1956/6/1,,,,27.15
1956/7/1,,,,27.29
1956/8/1,,,,27.31
1956/9/1,,,,27.35
1956/10/1,,,,27.51
1956/11/1,,,,27.51
1956/12/1,,,,27.63
1957/1/1,,,,27.67
1957/2/1,,,,27.8
1957/3/1,,,,27.86
1957/4/1,,,,27.93
1957/5/1,,,,28
1957/6/1,,,,28.11
1957/7/1,,,,28.19
1957/8/1,,,,28.28
1957/9/1,,,,28.32
1957/10/1,,,,28.32
1957/11/1,,,,28.41
1957/12/1,,,,28.47
1958/1/1,,,,28.64
1958/2/1,,,,28.7
1958/3/1,,,,28.87
1958/4/1,,,,28.94
1958/5/1,,,,28.94
1958/6/1,,,,28.91
1958/7/1,,,,28.89
1958/8/1,,,,28.94
1958/9/1,,,,28.91
1958/10/1,,,,28.91
1958/11/1,,,,28.95
1958/12/1,,,,28.97
1959/1/1,,,,29.01
1959/2/1,,,,29
1959/3/1,,,,28.97
1959/4/1,,,,28.98
1959/5/1,,,,29.04
1959/6/1,,,,29.11
1959/7/1,,,,29.15
1959/8/1,,,,29.18
1959/9/1,,,,29.25
1959/10/1,,,,29.35
1959/11/1,,,,29.35
1959/12/1,,,,29.41
1960/1/1,,,,29.37
1960/2/1,,,,29.41
1960/3/1,,,,29.41
1960/4/1,,,,29.54
1960/5/1,,,,29.57
1960/6/1,,,,29.61
1960/7/1,,,,29.55
1960/8/1,,,,29.61
1960/9/1,,,,29.61
1960/10/1,,,,29.75
1960/11/1,,,,29.78
1960/12/1,,,,29.81
1961/1/1,,,,29.84
1961/2/1,,,,29.84
1961/3/1,,,,29.84
1961/4/1,,,,29.81
1961/5/1,,,,29.84
1961/6/1,,,,29.84
1961/7/1,,,,29.92
1961/8/1,,,,29.94
1961/9/1,,,,29.98
1961/10/1,,,,29.98
